date,close,open,high,low,volume,change
2021/7/16,28004.68 ,27972.56 ,28218.53 ,27878.53 ,1970000000,0.03%
2021/7/15,27996.27 ,27801.40 ,28181.21 ,27741.09 ,2080000000,0.75%
2021/7/14,27787.46 ,27965.39 ,27965.39 ,27708.71 ,1870000000,-0.63%
2021/7/13,27963.41 ,27694.03 ,28052.32 ,27612.69 ,2000000000,1.63%
2021/7/12,27515.24 ,27672.70 ,27741.19 ,27420.35 ,2050000000,0.62%
2021/7/9,27344.54 ,27131.57 ,27450.79 ,26861.87 ,2500000000,0.70%
2021/7/8,27153.13 ,27881.50 ,27921.06 ,27110.62 ,2950000000,-2.89%
2021/7/7,27960.62 ,27777.81 ,27969.41 ,27703.41 ,2040000000,-0.40%
2021/7/6,28072.86 ,28136.63 ,28151.35 ,27904.53 ,1900000000,-0.25%
2021/7/5,28143.50 ,28098.91 ,28338.79 ,28042.71 ,1830000000,-0.59%
2021/7/2,28310.42 ,28859.02 ,28859.02 ,28231.73 ,2820000000,-1.80%
2021/6/30,28827.95 ,29107.90 ,29146.28 ,28827.70 ,2050000000,-0.57%
2021/6/29,28994.10 ,29291.89 ,29291.89 ,28924.61 ,2360000000,-0.94%
2021/6/28,29268.30 ,29366.49 ,29394.69 ,29209.43 ,1510000000,-0.07%
2021/6/25,29288.22 ,29002.67 ,29305.17 ,28971.60 ,2150000000,1.40%
2021/6/24,28882.46 ,28865.46 ,28993.37 ,28782.34 ,1720000000,0.23%
2021/6/23,28817.07 ,28468.24 ,28893.79 ,28406.61 ,2290000000,1.79%
2021/6/22,28309.76 ,28575.16 ,28579.00 ,28299.66 ,1980000000,-0.63%
2021/6/21,28489.00 ,28501.64 ,28590.22 ,28314.93 ,2180000000,-1.08%
2021/6/18,28801.27 ,28586.04 ,28830.85 ,28532.08 ,3760000000,0.85%
2021/6/17,28558.59 ,28240.88 ,28558.59 ,28216.09 ,1890000000,0.43%
2021/6/16,28436.84 ,28609.37 ,28648.64 ,28403.64 ,2050000000,-0.70%
2021/6/15,28638.53 ,28946.44 ,28946.44 ,28453.48 ,2380000000,-0.71%
2021/6/11,28842.13 ,28864.90 ,28965.15 ,28743.82 ,2040000000,0.36%
2021/6/10,28738.88 ,28792.02 ,28954.40 ,28664.94 ,1940000000,-0.01%
2021/6/9,28742.63 ,28771.14 ,28859.58 ,28687.69 ,1810000000,-0.13%
2021/6/8,28781.38 ,28900.52 ,28979.20 ,28638.31 ,1630000000,-0.02%
2021/6/7,28787.28 ,28985.60 ,29003.99 ,28615.61 ,2570000000,-0.45%
2021/6/4,28918.10 ,28837.95 ,29023.18 ,28737.97 ,3050000000,-0.17%
2021/6/3,28966.03 ,29365.32 ,29377.90 ,28902.67 ,2240000000,-1.13%
2021/6/2,29297.62 ,29414.64 ,29490.61 ,29208.73 ,1930000000,-0.58%
2021/6/1,29468.00 ,29159.06 ,29480.16 ,29036.45 ,1830000000,1.08%
2021/5/31,29151.80 ,29225.46 ,29225.46 ,28909.52 ,2190000000,0.09%
2021/5/28,29124.41 ,29219.46 ,29336.13 ,29033.72 ,2590000000,0.04%
2021/5/27,29113.20 ,28998.39 ,29157.95 ,28950.72 ,3800000000,-0.18%
2021/5/26,29166.01 ,29056.28 ,29261.86 ,29027.95 ,2520000000,0.88%
2021/5/25,28910.86 ,28461.50 ,28929.24 ,28461.50 ,2350000000,1.75%
2021/5/24,28412.26 ,28417.99 ,28444.36 ,28195.52 ,1720000000,-0.16%
2021/5/21,28458.44 ,28584.34 ,28584.34 ,28286.92 ,1650000000,0.03%
2021/5/20,28450.29 ,28413.49 ,28508.24 ,28293.23 ,2470000000,-0.50%
2021/5/18,28593.81 ,28438.03 ,28617.34 ,28438.03 ,2070000000,1.42%
2021/5/17,28194.09 ,28130.51 ,28268.39 ,28074.14 ,1860000000,0.59%
2021/5/14,28027.57 ,27872.69 ,28064.01 ,27715.88 ,1880000000,1.11%
2021/5/13,27718.67 ,27920.01 ,28060.93 ,27718.67 ,2170000000,-1.81%
2021/5/12,28231.04 ,28073.92 ,28231.04 ,27897.47 ,2130000000,0.78%
2021/5/11,28013.81 ,28286.56 ,28286.56 ,27910.71 ,2380000000,-2.03%
2021/5/10,28595.66 ,28776.99 ,28842.11 ,28453.14 ,2360000000,-0.05%
2021/5/7,28610.65 ,28721.13 ,28884.03 ,28530.71 ,2210000000,-0.09%
2021/5/6,28637.46 ,28647.97 ,28753.97 ,28384.12 ,2480000000,0.77%
2021/5/5,28417.98 ,28427.67 ,28677.36 ,28325.96 ,1720000000,-0.49%
2021/5/4,28557.14 ,28438.15 ,28577.52 ,28321.34 ,1920000000,0.70%
2021/5/3,28357.54 ,28659.91 ,28684.83 ,28256.03 ,1730000000,-1.28%
2021/4/30,28724.88 ,29143.43 ,29154.75 ,28701.69 ,2580000000,-1.97%
2021/4/29,29303.26 ,29268.21 ,29405.12 ,29162.87 ,1840000000,0.80%
2021/4/28,29071.34 ,28991.94 ,29071.34 ,28887.33 ,2070000000,0.45%
2021/4/27,28941.54 ,28895.38 ,29045.11 ,28793.22 ,1830000000,-0.04%
2021/4/26,28952.83 ,29106.45 ,29238.99 ,28908.65 ,1790000000,-0.43%
2021/4/23,29078.75 ,28798.45 ,29078.75 ,28748.57 ,1900000000,1.12%
2021/4/22,28755.34 ,28716.98 ,28848.02 ,28597.00 ,1930000000,0.47%
2021/4/21,28621.92 ,28702.27 ,28778.36 ,28506.76 ,2200000000,-1.76%
2021/4/20,29135.73 ,28962.80 ,29220.19 ,28885.55 ,2010000000,0.10%
2021/4/19,29106.15 ,28960.13 ,29319.76 ,28806.76 ,2020000000,0.47%
2021/4/16,28969.71 ,28827.17 ,29079.18 ,28711.11 ,2190000000,0.61%
2021/4/15,28793.14 ,28872.82 ,28884.57 ,28530.99 ,1900000000,-0.37%
2021/4/14,28900.83 ,28796.55 ,28979.35 ,28685.06 ,1940000000,1.42%
2021/4/13,28497.25 ,28557.84 ,28877.15 ,28452.12 ,2060000000,0.15%
2021/4/12,28453.28 ,28791.97 ,28791.97 ,28274.27 ,1990000000,-0.86%
2021/4/9,28698.80 ,29152.44 ,29152.44 ,28604.55 ,1900000000,-1.07%
2021/4/8,29008.07 ,28604.12 ,29054.82 ,28587.11 ,2520000000,1.16%
2021/4/7,28674.80 ,29101.40 ,29101.40 ,28598.86 ,2220000000,-0.91%
2021/4/1,28938.74 ,28594.55 ,28938.74 ,28511.65 ,2230000000,1.97%
2021/3/31,28378.35 ,28802.53 ,28802.53 ,28332.78 ,2700000000,-0.70%
2021/3/30,28577.50 ,28552.77 ,28694.15 ,28371.23 ,2270000000,0.84%
2021/3/29,28338.30 ,28317.32 ,28484.66 ,28132.36 ,2850000000,0.01%
2021/3/26,28336.43 ,28043.65 ,28415.15 ,28014.29 ,2420000000,1.57%
2021/3/25,27899.61 ,27628.08 ,28032.01 ,27505.08 ,2600000000,-0.07%
2021/3/24,27918.14 ,28437.49 ,28457.87 ,27827.05 ,2690000000,-2.03%
2021/3/23,28497.38 ,29008.02 ,29043.18 ,28376.22 ,2050000000,-1.34%
2021/3/22,28885.34 ,28801.09 ,29139.07 ,28801.09 ,2070000000,-0.36%
2021/3/19,28990.94 ,29158.48 ,29271.40 ,28737.54 ,3810000000,-1.41%
2021/3/18,29405.72 ,29317.61 ,29596.58 ,29317.61 ,2110000000,1.28%
2021/3/17,29034.12 ,28992.24 ,29180.01 ,28780.23 ,1900000000,0.02%
2021/3/16,29027.69 ,29036.82 ,29118.62 ,28872.40 ,2350000000,0.67%
2021/3/15,28833.76 ,28923.95 ,29178.99 ,28612.74 ,3100000000,0.33%
2021/3/12,28739.72 ,29550.37 ,29550.37 ,28707.35 ,3560000000,-2.20%
2021/3/11,29385.61 ,28909.98 ,29412.42 ,28893.21 ,3600000000,1.65%
2021/3/10,28907.52 ,29255.37 ,29255.37 ,28710.91 ,2840000000,0.47%
2021/3/9,28773.23 ,28665.26 ,29047.13 ,28326.13 ,4380000000,0.81%
2021/3/8,28540.83 ,29362.59 ,29386.33 ,28422.27 ,4910000000,-1.92%
