date,close,open,high,low,pre_close,change,pct_chg,volume,amount
"20190107","2314.3193","2329.0316","2331.6031","2306.8979","2314.6466","-0.3273","-0.0141","25278948","31955994.374"
"20190104","2314.6466","2252.7449","2316.3528","2249.3658","2269.243","45.4036","2.0008","25900596","34317942.561"
"20190103","2269.243","2259.4825","2287.7778","2253.9433","2262.7908","6.4522","0.2851","18895240","24534925.485"
"20190102","2262.7908","2298.1805","2301.0552","2252.7479","2293.0985","-30.3077","-1.3217","20880697","28119934.116"
"20181228","2293.0985","2279.6989","2305.9083","2278.2485","2276.0571","17.0414","0.7487","24277348","30980579.878"
"20181227","2276.0571","2310.8103","2313.0456","2275.0369","2281.5579","-5.5008","-0.2411","26756215","29948335.973"
"20181226","2281.5579","2293.288","2303.1968","2278.2937","2297.3326","-15.7747","-0.6867","15787164","18688492.953"
"20181225","2297.3326","2285.66","2308.6053","2256.4712","2309.2327","-11.9001","-0.5153","24003262","27287608.705"
"20181224","2309.2327","2293.7481","2311.7347","2286.9894","2306.1451","3.0876","0.1339","18318296","21344497.127"
"20181221","2306.1451","2325.9784","2327.4365","2288.4047","2334.9217","-28.7766","-1.2324","24752807","31278956.943"
"20181220","2334.9217","2363.0038","2372.3737","2319.0959","2369.5483","-34.6266","-1.4613","26893461","32198354.747"
"20181219","2369.5483","2401.9082","2403.895","2366.4002","2397.8676","-28.3193","-1.181","18664633","25313964.258"
"20181218","2397.8676","2409.5758","2427.6848","2388.9827","2425.9446","-28.077","-1.1574","20681269","25490008.672"
"20181217","2425.9446","2420.5763","2430.8886","2409.0091","2423.3814","2.5632","0.1058","21170997","27336830.902"
"20181214","2423.3814","2446.8102","2448.7983","2423.0881","2457.9046","-34.5232","-1.4046","25855357","30934773.981"
"20181213","2457.9046","2429.3884","2469.6995","2423.5699","2423.3178","34.5868","1.4272","28085510","36815471.968"
"20181212","2423.3178","2437.6058","2437.6058","2414.3308","2415.5777","7.7401","0.3204","14230846","18683315.585"
"20181211","2415.5777","2408.9163","2420.5205","2405.8651","2408.6063","6.9714","0.2894","12885505","17056710.344"
"20181210","2408.6063","2410.1674","2425.7352","2399.3225","2430.7223","-22.116","-0.9099","17586515","23162583.367"
"20181207","2430.7223","2441.375","2444.9849","2427.8872","2434.4908","-3.7685","-0.1548","14534653","20820781.624"
"20181206","2434.4908","2453.5629","2460.2306","2431.8647","2481.7917","-47.3009","-1.9059","21671205","29561052.08"
"20181205","2481.7917","2467.5552","2492.3155","2465.2516","2496.1425","-14.3508","-0.5749","20483609","27883112.76"
"20181204","2496.1425","2488.5753","2496.8141","2476.9076","2488.0567","8.0858","0.325","23849605","30722358.309"
"20181203","2488.0567","2492.4334","2500.5679","2467.9351","2428.0445","60.0122","2.4716","35369612","48628578.697"
"20181130","2428.0445","2403.2314","2430.6502","2402.544","2401.8524","26.1921","1.0905","19322534","23150338.247"
"20181129","2401.8524","2437.9202","2441.4157","2401.8524","2421.1336","-19.2812","-0.7964","19845353","25290387.059"
"20181128","2421.1336","2396.295","2426.6596","2394.2508","2394.2943","26.8393","1.121","17059686","21351171.716"
"20181127","2394.2943","2407.2269","2416.4379","2387.9268","2401.8978","-7.6035","-0.3166","14968936","17940814.844"
"20181126","2401.8978","2409.4683","2423.4624","2393.9788","2399.2026","2.6952","0.1123","16215339","18832300.553"
"20181123","2399.2026","2433.5345","2441.3181","2398.7265","2437.6387","-38.4361","-1.5768","21219889","24231459.148"
"20181122","2437.6387","2455.7711","2456.9128","2426.123","2451.2723","-13.6336","-0.5562","16424828","21069166.872"
"20181121","2451.2723","2425.7163","2454.4595","2425.2317","2446.7911","4.4812","0.1831","21904534","26826856.469"
"20181120","2446.7911","2475.2281","2484.0128","2441.849","2492.0842","-45.2931","-1.8175","26945322","32913380.85"
"20181119","2492.0842","2466.4298","2492.0842","2461.7951","2461.4445","30.6397","1.2448","29720153","38040917.146"
"20181116","2461.4445","2458.4768","2482.4414","2443.1173","2459.1411","2.3034","0.0937","31500583","39145116.369"
"20181115","2459.1411","2430.1865","2459.4347","2427.0666","2429.9857","29.1554","1.1998","24745017","30254544.229"
"20181114","2429.9857","2462.1775","2462.1775","2425.9666","2462.9726","-32.9869","-1.3393","27016565","31710018.989"
"20181113","2462.9726","2415.2991","2474.8233","2413.7763","2444.9673","18.0053","0.7364","27681898","34914183.934"
"20181112","2444.9673","2426.8266","2447.4621","2419.9674","2434.212","10.7553","0.4418","22907299","29682528.968"
"20181109","2434.212","2469.89","2469.89","2434.0811","2485.9978","-51.7858","-2.0831","28036742","30360304.998"
"20181108","2485.9978","2507.5932","2511.0045","2480.3278","2482.3343","3.6635","0.1476","20311246","26155585.331"
"20181107","2482.3343","2503.6814","2521.1509","2479.2489","2499.6793","-17.345","-0.6939","26158564","30891232.864"
"20181106","2499.6793","2507.3589","2509.6404","2478.3756","2511.5897","-11.9104","-0.4742","22102400","27830069.266"
"20181105","2511.5897","2520.8774","2524.6516","2489.593","2542.768","-31.1783","-1.2262","28262359","37305733.73"
"20181102","2542.768","2522.39","2544.1873","2489.0674","2460.1619","82.6061","3.3578","47328804","62090716.32"
"20181101","2460.1619","2474.2673","2500.1246","2455.7319","2451.1207","9.0412","0.3689","37694390","50794892.605"
"20181031","2451.1207","2424.1609","2460.8368","2413.3366","2415.6485","35.4722","1.4684","34500763","44512207.236"
"20181030","2415.6485","2380.4668","2449.2854","2378.818","2389.5766","26.0719","1.0911","32464786","52081900.276"
"20181029","2389.5766","2461.9241","2465.3693","2377.9853","2468.9096","-79.333","-3.2133","28728277","40215886.72"
"20181026","2468.9096","2486.9974","2499.7579","2445.829","2485.0987","-16.1891","-0.6514","28793335","37746236.211"
"20181025","2485.0987","2419.1129","2486.7575","2415.4865","2477.4883","7.6104","0.3072","31130039","43012012.71"
"20181024","2477.4883","2459.3203","2530.7742","2459.2123","2464.8117","12.6766","0.5143","37027581","48850258.934"
"20181023","2464.8117","2539.6511","2544.2958","2451.6704","2540.1521","-75.3404","-2.966","35418623","55621787.795"
"20181022","2540.1521","2463.4925","2566.627","2463.4925","2446.3196","93.8325","3.8357","46328068","64393838.244"
"20181019","2446.3196","2353.8361","2451.7576","2344.9814","2369.0679","77.2517","3.2608","31382548","42185839.557"
"20181018","2369.0679","2416.3723","2416.3723","2367.7141","2429.2145","-60.1466","-2.476","22765046","29580379.005"
"20181017","2429.2145","2446.478","2451.1869","2384.1416","2415.492","13.7225","0.5681","24854130","31533042.167"
"20181016","2415.492","2414.317","2459.8784","2407.0034","2412.4791","3.0129","0.1249","19832199","26111832.842"
"20181015","2412.4791","2443.7309","2448.257","2407.5483","2444.1305","-31.6514","-1.295","20543216","26673331.724"
"20181012","2444.1305","2398.1799","2452.6865","2390.994","2390.5025","53.628","2.2434","29000533","37470242.153"
"20181011","2390.5025","2412.2212","2446.3735","2369.0253","2494.0558","-103.5533","-4.152","36931486","47144413.739"
